sim,replicate,n,d,corr,prop_NA,true_beta,true_intercept,center_X,set_up
SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimA_rep0_n115000_d5_corr65_NA25
SimA,1.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimA_rep1_n115000_d5_corr65_NA25
SimA,2.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimA_rep2_n115000_d5_corr65_NA25
SimA,3.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimA_rep3_n115000_d5_corr65_NA25
SimA,4.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimA_rep4_n115000_d5_corr65_NA25
SimA,5.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimA_rep5_n115000_d5_corr65_NA25
SimA,6.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimA_rep6_n115000_d5_corr65_NA25
SimA,7.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimA_rep7_n115000_d5_corr65_NA25
SimA,8.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimA_rep8_n115000_d5_corr65_NA25
SimA,9.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimA_rep9_n115000_d5_corr65_NA25
