sim,replicate,n,d,corr,prop_NA,true_beta,center_X,set_up
SimC,0.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],SimC_rep0_n115000_d5_corr95_NA25
SimC,1.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],SimC_rep1_n115000_d5_corr95_NA25
SimC,2.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],SimC_rep2_n115000_d5_corr95_NA25
SimC,3.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],SimC_rep3_n115000_d5_corr95_NA25
SimC,4.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],SimC_rep4_n115000_d5_corr95_NA25
SimC,5.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],SimC_rep5_n115000_d5_corr95_NA25
SimC,6.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],SimC_rep6_n115000_d5_corr95_NA25
SimC,7.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],SimC_rep7_n115000_d5_corr95_NA25
SimC,8.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],SimC_rep8_n115000_d5_corr95_NA25
SimC,9.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],SimC_rep9_n115000_d5_corr95_NA25
